"","original_code","code_level","code","sector","borderline"
"334","Manufacture of sawali, nipa and split canes",5,16282,"not in scope",FALSE
"335","Manufacture of mats, matting or screen",5,16283,"not in scope",FALSE
"336","Manufacture of small cane wares",5,16284,"not in scope",FALSE
"337","Manufacture of articles of cork, straw and plaiting materials",5,16285,"not in scope",FALSE
"338","Manufacture other products of bamboo, cane, rattan and the like, and plaiting materials except furniture, n.e.c.",5,16289,"not in scope",FALSE
"339","Manufacture of other products of wood; manufacture of articles of cork and plaiting materials, except furniture, n.e.c.",5,16290,"not in scope",FALSE
"340","Integrated pulp,paper and paperboard milling",5,17011,"not in scope",FALSE
"341","Pulp milling",5,17012,"not in scope",FALSE
"342","Paper and paperboard milling",5,17013,"not in scope",FALSE
"343","Manufacture of hand-made paper",5,17014,"not in scope",FALSE
"344","Manufacture of pulp, paper and paperboard, n.e.c.",5,17019,"not in scope",FALSE
"345","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard",5,17020,"not in scope",FALSE
"346","Manufacture of household and personal hygiene paper and cellulose wadding products",5,17091,"not in scope",FALSE
"347","Manufacture of wadding of textile materials and articles of wadding (e.g. sanitary towels, tampons, etc.)",5,17092,"not in scope",FALSE
"348","Manufacture of other articles of paper",5,17093,"not in scope",FALSE
"349","Manufacture of other articles of paperboard",5,17099,"not in scope",FALSE
"350","Printing",5,18110,"not in scope",FALSE
"351","Electrotyping, stereotyping and photoengraving",5,18121,"not in scope",FALSE
"352","Bookbinding and related work",5,18122,"not in scope",FALSE
"353","Service activities related to printing, n.e.c.",5,18129,"not in scope",FALSE
"354","Reproduction of video and computer tapes from mastercopies",5,18201,"not in scope",FALSE
"355","Reproduction of floppy, hard or  compact disks",5,18202,"not in scope",FALSE
"356","Film and video reproduction",5,18203,"not in scope",FALSE
"357","Manufacture of coke oven products",5,19100,"coal",FALSE
"358","Manufacture of refined petroleum products",5,19200,"not in scope",FALSE
"359","Manufacture of other fuel products",5,19900,"not in scope",FALSE
"360","Manufacture of ethanol",5,20111,"not in scope",FALSE
"361","Manufacture of industrial (compressed and liquefied) gases",5,20112,"not in scope",FALSE
"362","Manufacture of inorganic salts and compounds",5,20113,"not in scope",FALSE
"363","Manufacture of ethyl alcohol",5,20114,"not in scope",FALSE
"364","Manufacture  of  alcohol except ethyl",5,20115,"not in scope",FALSE
"365","Manufacture of inorganic acids, alkalis and chlorine",5,20116,"not in scope",FALSE
